S 68514c,1 miss 
L 685200,8 miss 
L 685144,4 hit 
L 685140,4 hit 
L 605140,4 miss eviction 
S 645140,4 miss eviction 
L 605144,4 miss eviction 
S 645240,4 miss 
L 605148,4 hit 
S 645340,4 miss 
L 60514c,4 hit 
S 645440,4 miss 
L 605150,4 hit 
S 645540,4 miss eviction 
L 605154,4 miss eviction 
S 645640,4 miss eviction 
L 605158,4 hit 
S 645740,4 miss eviction 
L 60515c,4 hit 
S 645840,4 miss eviction 
L 605160,4 miss 
S 645940,4 miss eviction 
L 605164,4 hit 
S 645a40,4 miss eviction 
L 605168,4 hit 
S 645b40,4 miss eviction 
L 60516c,4 hit 
S 645c40,4 miss eviction 
L 605170,4 hit 
S 645d40,4 miss eviction 
L 605174,4 hit 
S 645e40,4 miss eviction 
L 605178,4 hit 
S 645f40,4 miss eviction 
L 60517c,4 hit 
S 646040,4 miss eviction 
L 605180,4 miss 
S 646140,4 miss eviction 
L 605184,4 hit 
S 646240,4 miss eviction 
L 605188,4 hit 
S 646340,4 miss eviction 
L 60518c,4 hit 
S 646440,4 miss eviction 
L 605190,4 hit 
S 646540,4 miss eviction 
L 605194,4 hit 
S 646640,4 miss eviction 
L 605198,4 hit 
S 646740,4 miss eviction 
L 60519c,4 hit 
S 646840,4 miss eviction 
L 6051a0,4 miss 
S 646940,4 miss eviction 
L 6051a4,4 hit 
S 646a40,4 miss eviction 
L 6051a8,4 hit 
S 646b40,4 miss eviction 
L 6051ac,4 hit 
S 646c40,4 miss eviction 
L 6051b0,4 hit 
S 646d40,4 miss eviction 
L 6051b4,4 hit 
S 646e40,4 miss eviction 
L 6051b8,4 hit 
S 646f40,4 miss eviction 
L 6051bc,4 hit 
S 647040,4 miss eviction 
L 6051c0,4 miss 
S 647140,4 miss eviction 
L 6051c4,4 hit 
S 647240,4 miss eviction 
L 6051c8,4 hit 
S 647340,4 miss eviction 
L 6051cc,4 hit 
S 647440,4 miss eviction 
L 6051d0,4 hit 
S 647540,4 miss eviction 
L 6051d4,4 hit 
S 647640,4 miss eviction 
L 6051d8,4 hit 
S 647740,4 miss eviction 
L 6051dc,4 hit 
S 647840,4 miss eviction 
L 6051e0,4 miss 
S 647940,4 miss eviction 
L 6051e4,4 hit 
S 647a40,4 miss eviction 
L 6051e8,4 hit 
S 647b40,4 miss eviction 
L 6051ec,4 hit 
S 647c40,4 miss eviction 
L 6051f0,4 hit 
S 647d40,4 miss eviction 
L 6051f4,4 hit 
S 647e40,4 miss eviction 
L 6051f8,4 hit 
S 647f40,4 miss eviction 
L 6051fc,4 hit 
S 648040,4 miss eviction 
L 605200,4 miss eviction 
S 648140,4 miss eviction 
L 605204,4 hit 
S 648240,4 miss eviction 
L 605208,4 hit 
S 648340,4 miss eviction 
L 60520c,4 hit 
S 648440,4 miss eviction 
L 605210,4 hit 
S 648540,4 miss eviction 
L 605214,4 hit 
S 648640,4 miss eviction 
L 605218,4 hit 
S 648740,4 miss eviction 
L 60521c,4 hit 
S 648840,4 miss eviction 
L 605220,4 miss 
S 648940,4 miss eviction 
L 605224,4 hit 
S 648a40,4 miss eviction 
L 605228,4 hit 
S 648b40,4 miss eviction 
L 60522c,4 hit 
S 648c40,4 miss eviction 
L 605230,4 hit 
S 648d40,4 miss eviction 
L 605234,4 hit 
S 648e40,4 miss eviction 
L 605238,4 hit 
S 648f40,4 miss eviction 
L 60523c,4 hit 
S 649040,4 miss eviction 
L 605240,4 miss eviction 
S 645144,4 miss eviction 
L 605244,4 hit 
S 645244,4 miss eviction 
L 605248,4 miss eviction 
S 645344,4 miss eviction 
L 60524c,4 hit 
S 645444,4 miss eviction 
L 605250,4 hit 
S 645544,4 miss eviction 
L 605254,4 hit 
S 645644,4 miss eviction 
L 605258,4 miss eviction 
S 645744,4 miss eviction 
L 60525c,4 hit 
S 645844,4 miss eviction 
L 605260,4 miss 
S 645944,4 miss eviction 
L 605264,4 hit 
S 645a44,4 miss eviction 
L 605268,4 hit 
S 645b44,4 miss eviction 
L 60526c,4 hit 
S 645c44,4 miss eviction 
L 605270,4 hit 
S 645d44,4 miss eviction 
L 605274,4 hit 
S 645e44,4 miss eviction 
L 605278,4 hit 
S 645f44,4 miss eviction 
L 60527c,4 hit 
S 646044,4 miss eviction 
L 605280,4 miss 
S 646144,4 miss eviction 
L 605284,4 hit 
S 646244,4 miss eviction 
L 605288,4 hit 
S 646344,4 miss eviction 
L 60528c,4 hit 
S 646444,4 miss eviction 
L 605290,4 hit 
S 646544,4 miss eviction 
L 605294,4 hit 
S 646644,4 miss eviction 
L 605298,4 hit 
S 646744,4 miss eviction 
L 60529c,4 hit 
S 646844,4 miss eviction 
L 6052a0,4 miss 
S 646944,4 miss eviction 
L 6052a4,4 hit 
S 646a44,4 miss eviction 
L 6052a8,4 hit 
S 646b44,4 miss eviction 
L 6052ac,4 hit 
S 646c44,4 miss eviction 
L 6052b0,4 hit 
S 646d44,4 miss eviction 
L 6052b4,4 hit 
S 646e44,4 miss eviction 
L 6052b8,4 hit 
S 646f44,4 miss eviction 
L 6052bc,4 hit 
S 647044,4 miss eviction 
L 6052c0,4 miss 
S 647144,4 miss eviction 
L 6052c4,4 hit 
S 647244,4 miss eviction 
L 6052c8,4 hit 
S 647344,4 miss eviction 
L 6052cc,4 hit 
S 647444,4 miss eviction 
L 6052d0,4 hit 
S 647544,4 miss eviction 
L 6052d4,4 hit 
S 647644,4 miss eviction 
L 6052d8,4 hit 
S 647744,4 miss eviction 
L 6052dc,4 hit 
S 647844,4 miss eviction 
L 6052e0,4 miss 
S 647944,4 miss eviction 
L 6052e4,4 hit 
S 647a44,4 miss eviction 
L 6052e8,4 hit 
S 647b44,4 miss eviction 
L 6052ec,4 hit 
S 647c44,4 miss eviction 
L 6052f0,4 hit 
S 647d44,4 miss eviction 
L 6052f4,4 hit 
S 647e44,4 miss eviction 
L 6052f8,4 hit 
S 647f44,4 miss eviction 
L 6052fc,4 hit 
S 648044,4 miss eviction 
L 605300,4 miss 
S 648144,4 miss eviction 
L 605304,4 hit 
S 648244,4 miss eviction 
L 605308,4 hit 
S 648344,4 miss eviction 
L 60530c,4 hit 
S 648444,4 miss eviction 
L 605310,4 hit 
S 648544,4 miss eviction 
L 605314,4 hit 
S 648644,4 miss eviction 
L 605318,4 hit 
S 648744,4 miss eviction 
L 60531c,4 hit 
S 648844,4 miss eviction 
L 605320,4 miss 
S 648944,4 miss eviction 
L 605324,4 hit 
S 648a44,4 miss eviction 
L 605328,4 hit 
S 648b44,4 miss eviction 
L 60532c,4 hit 
S 648c44,4 miss eviction 
L 605330,4 hit 
S 648d44,4 miss eviction 
L 605334,4 hit 
S 648e44,4 miss eviction 
L 605338,4 hit 
S 648f44,4 miss eviction 
L 60533c,4 hit 
S 649044,4 miss eviction 
L 605340,4 miss eviction 
S 645148,4 miss eviction 
L 605344,4 hit 
S 645248,4 miss eviction 
L 605348,4 hit 
S 645348,4 miss eviction 
L 60534c,4 miss eviction 
S 645448,4 miss eviction 
L 605350,4 hit 
S 645548,4 miss eviction 
L 605354,4 hit 
S 645648,4 miss eviction 
L 605358,4 hit 
S 645748,4 miss eviction 
L 60535c,4 miss eviction 
S 645848,4 miss eviction 
L 605360,4 miss 
S 645948,4 miss eviction 
L 605364,4 hit 
S 645a48,4 miss eviction 
L 605368,4 hit 
S 645b48,4 miss eviction 
L 60536c,4 hit 
S 645c48,4 miss eviction 
L 605370,4 hit 
S 645d48,4 miss eviction 
L 605374,4 hit 
S 645e48,4 miss eviction 
L 605378,4 hit 
S 645f48,4 miss eviction 
L 60537c,4 hit 
S 646048,4 miss eviction 
L 605380,4 miss 
S 646148,4 miss eviction 
L 605384,4 hit 
S 646248,4 miss eviction 
L 605388,4 hit 
S 646348,4 miss eviction 
L 60538c,4 hit 
S 646448,4 miss eviction 
L 605390,4 hit 
S 646548,4 miss eviction 
L 605394,4 hit 
S 646648,4 miss eviction 
L 605398,4 hit 
S 646748,4 miss eviction 
L 60539c,4 hit 
S 646848,4 miss eviction 
L 6053a0,4 miss 
S 646948,4 miss eviction 
L 6053a4,4 hit 
S 646a48,4 miss eviction 
L 6053a8,4 hit 
S 646b48,4 miss eviction 
L 6053ac,4 hit 
S 646c48,4 miss eviction 
L 6053b0,4 hit 
S 646d48,4 miss eviction 
L 6053b4,4 hit 
S 646e48,4 miss eviction 
L 6053b8,4 hit 
S 646f48,4 miss eviction 
L 6053bc,4 hit 
S 647048,4 miss eviction 
L 6053c0,4 miss 
S 647148,4 miss eviction 
L 6053c4,4 hit 
S 647248,4 miss eviction 
L 6053c8,4 hit 
S 647348,4 miss eviction 
L 6053cc,4 hit 
S 647448,4 miss eviction 
L 6053d0,4 hit 
S 647548,4 miss eviction 
L 6053d4,4 hit 
S 647648,4 miss eviction 
L 6053d8,4 hit 
S 647748,4 miss eviction 
L 6053dc,4 hit 
S 647848,4 miss eviction 
L 6053e0,4 miss 
S 647948,4 miss eviction 
L 6053e4,4 hit 
S 647a48,4 miss eviction 
L 6053e8,4 hit 
S 647b48,4 miss eviction 
L 6053ec,4 hit 
S 647c48,4 miss eviction 
L 6053f0,4 hit 
S 647d48,4 miss eviction 
L 6053f4,4 hit 
S 647e48,4 miss eviction 
L 6053f8,4 hit 
S 647f48,4 miss eviction 
L 6053fc,4 hit 
S 648048,4 miss eviction 
L 605400,4 miss 
S 648148,4 miss eviction 
L 605404,4 hit 
S 648248,4 miss eviction 
L 605408,4 hit 
S 648348,4 miss eviction 
L 60540c,4 hit 
S 648448,4 miss eviction 
L 605410,4 hit 
S 648548,4 miss eviction 
L 605414,4 hit 
S 648648,4 miss eviction 
L 605418,4 hit 
S 648748,4 miss eviction 
L 60541c,4 hit 
S 648848,4 miss eviction 
L 605420,4 miss 
S 648948,4 miss eviction 
L 605424,4 hit 
S 648a48,4 miss eviction 
L 605428,4 hit 
S 648b48,4 miss eviction 
L 60542c,4 hit 
S 648c48,4 miss eviction 
L 605430,4 hit 
S 648d48,4 miss eviction 
L 605434,4 hit 
S 648e48,4 miss eviction 
L 605438,4 hit 
S 648f48,4 miss eviction 
L 60543c,4 hit 
S 649048,4 miss eviction 
L 605440,4 miss eviction 
S 64514c,4 miss eviction 
L 605444,4 hit 
S 64524c,4 miss eviction 
L 605448,4 hit 
S 64534c,4 miss eviction 
L 60544c,4 hit 
S 64544c,4 miss eviction 
L 605450,4 miss eviction 
S 64554c,4 miss eviction 
L 605454,4 hit 
S 64564c,4 miss eviction 
L 605458,4 hit 
S 64574c,4 miss eviction 
L 60545c,4 hit 
S 64584c,4 miss eviction 
L 605460,4 miss 
S 64594c,4 miss eviction 
L 605464,4 hit 
S 645a4c,4 miss eviction 
L 605468,4 hit 
S 645b4c,4 miss eviction 
L 60546c,4 hit 
S 645c4c,4 miss eviction 
L 605470,4 hit 
S 645d4c,4 miss eviction 
L 605474,4 hit 
S 645e4c,4 miss eviction 
L 605478,4 hit 
S 645f4c,4 miss eviction 
L 60547c,4 hit 
S 64604c,4 miss eviction 
L 605480,4 miss 
S 64614c,4 miss eviction 
L 605484,4 hit 
S 64624c,4 miss eviction 
L 605488,4 hit 
S 64634c,4 miss eviction 
L 60548c,4 hit 
S 64644c,4 miss eviction 
L 605490,4 hit 
S 64654c,4 miss eviction 
L 605494,4 hit 
S 64664c,4 miss eviction 
L 605498,4 hit 
S 64674c,4 miss eviction 
L 60549c,4 hit 
S 64684c,4 miss eviction 
L 6054a0,4 miss 
S 64694c,4 miss eviction 
L 6054a4,4 hit 
S 646a4c,4 miss eviction 
L 6054a8,4 hit 
S 646b4c,4 miss eviction 
L 6054ac,4 hit 
S 646c4c,4 miss eviction 
L 6054b0,4 hit 
S 646d4c,4 miss eviction 
L 6054b4,4 hit 
S 646e4c,4 miss eviction 
L 6054b8,4 hit 
S 646f4c,4 miss eviction 
L 6054bc,4 hit 
S 64704c,4 miss eviction 
L 6054c0,4 miss 
S 64714c,4 miss eviction 
L 6054c4,4 hit 
S 64724c,4 miss eviction 
L 6054c8,4 hit 
S 64734c,4 miss eviction 
L 6054cc,4 hit 
S 64744c,4 miss eviction 
L 6054d0,4 hit 
S 64754c,4 miss eviction 
L 6054d4,4 hit 
S 64764c,4 miss eviction 
L 6054d8,4 hit 
S 64774c,4 miss eviction 
L 6054dc,4 hit 
S 64784c,4 miss eviction 
L 6054e0,4 miss 
S 64794c,4 miss eviction 
L 6054e4,4 hit 
S 647a4c,4 miss eviction 
L 6054e8,4 hit 
S 647b4c,4 miss eviction 
L 6054ec,4 hit 
S 647c4c,4 miss eviction 
L 6054f0,4 hit 
S 647d4c,4 miss eviction 
L 6054f4,4 hit 
S 647e4c,4 miss eviction 
L 6054f8,4 hit 
S 647f4c,4 miss eviction 
L 6054fc,4 hit 
S 64804c,4 miss eviction 
L 605500,4 miss 
S 64814c,4 miss eviction 
L 605504,4 hit 
S 64824c,4 miss eviction 
L 605508,4 hit 
S 64834c,4 miss eviction 
L 60550c,4 hit 
S 64844c,4 miss eviction 
L 605510,4 hit 
S 64854c,4 miss eviction 
L 605514,4 hit 
S 64864c,4 miss eviction 
L 605518,4 hit 
S 64874c,4 miss eviction 
L 60551c,4 hit 
S 64884c,4 miss eviction 
L 605520,4 miss 
S 64894c,4 miss eviction 
L 605524,4 hit 
S 648a4c,4 miss eviction 
L 605528,4 hit 
S 648b4c,4 miss eviction 
L 60552c,4 hit 
S 648c4c,4 miss eviction 
L 605530,4 hit 
S 648d4c,4 miss eviction 
L 605534,4 hit 
S 648e4c,4 miss eviction 
L 605538,4 hit 
S 648f4c,4 miss eviction 
L 60553c,4 hit 
S 64904c,4 miss eviction 
L 605540,4 miss eviction 
S 645150,4 miss eviction 
L 605544,4 miss eviction 
S 645250,4 miss eviction 
L 605548,4 hit 
S 645350,4 miss eviction 
L 60554c,4 hit 
S 645450,4 miss eviction 
L 605550,4 hit 
S 645550,4 miss eviction 
L 605554,4 miss eviction 
S 645650,4 miss eviction 
L 605558,4 hit 
S 645750,4 miss eviction 
L 60555c,4 hit 
S 645850,4 miss eviction 
L 605560,4 miss eviction 
S 645950,4 miss eviction 
L 605564,4 hit 
S 645a50,4 miss eviction 
L 605568,4 hit 
S 645b50,4 miss eviction 
L 60556c,4 hit 
S 645c50,4 miss eviction 
L 605570,4 hit 
S 645d50,4 miss eviction 
L 605574,4 hit 
S 645e50,4 miss eviction 
L 605578,4 hit 
S 645f50,4 miss eviction 
L 60557c,4 hit 
S 646050,4 miss eviction 
L 605580,4 miss eviction 
S 646150,4 miss eviction 
L 605584,4 hit 
S 646250,4 miss eviction 
L 605588,4 hit 
S 646350,4 miss eviction 
L 60558c,4 hit 
S 646450,4 miss eviction 
L 605590,4 hit 
S 646550,4 miss eviction 
L 605594,4 hit 
S 646650,4 miss eviction 
L 605598,4 hit 
S 646750,4 miss eviction 
L 60559c,4 hit 
S 646850,4 miss eviction 
L 6055a0,4 miss eviction 
S 646950,4 miss eviction 
L 6055a4,4 hit 
S 646a50,4 miss eviction 
L 6055a8,4 hit 
S 646b50,4 miss eviction 
L 6055ac,4 hit 
S 646c50,4 miss eviction 
L 6055b0,4 hit 
S 646d50,4 miss eviction 
L 6055b4,4 hit 
S 646e50,4 miss eviction 
L 6055b8,4 hit 
S 646f50,4 miss eviction 
L 6055bc,4 hit 
S 647050,4 miss eviction 
L 6055c0,4 miss eviction 
S 647150,4 miss eviction 
L 6055c4,4 hit 
S 647250,4 miss eviction 
L 6055c8,4 hit 
S 647350,4 miss eviction 
L 6055cc,4 hit 
S 647450,4 miss eviction 
L 6055d0,4 hit 
S 647550,4 miss eviction 
L 6055d4,4 hit 
S 647650,4 miss eviction 
L 6055d8,4 hit 
S 647750,4 miss eviction 
L 6055dc,4 hit 
S 647850,4 miss eviction 
L 6055e0,4 miss eviction 
S 647950,4 miss eviction 
L 6055e4,4 hit 
S 647a50,4 miss eviction 
L 6055e8,4 hit 
S 647b50,4 miss eviction 
L 6055ec,4 hit 
S 647c50,4 miss eviction 
L 6055f0,4 hit 
S 647d50,4 miss eviction 
L 6055f4,4 hit 
S 647e50,4 miss eviction 
L 6055f8,4 hit 
S 647f50,4 miss eviction 
L 6055fc,4 hit 
S 648050,4 miss eviction 
L 605600,4 miss eviction 
S 648150,4 miss eviction 
L 605604,4 hit 
S 648250,4 miss eviction 
L 605608,4 hit 
S 648350,4 miss eviction 
L 60560c,4 hit 
S 648450,4 miss eviction 
L 605610,4 hit 
S 648550,4 miss eviction 
L 605614,4 hit 
S 648650,4 miss eviction 
L 605618,4 hit 
S 648750,4 miss eviction 
L 60561c,4 hit 
S 648850,4 miss eviction 
L 605620,4 miss eviction 
S 648950,4 miss eviction 
L 605624,4 hit 
S 648a50,4 miss eviction 
L 605628,4 hit 
S 648b50,4 miss eviction 
L 60562c,4 hit 
S 648c50,4 miss eviction 
L 605630,4 hit 
S 648d50,4 miss eviction 
L 605634,4 hit 
S 648e50,4 miss eviction 
L 605638,4 hit 
S 648f50,4 miss eviction 
L 60563c,4 hit 
S 649050,4 miss eviction 
L 605640,4 miss eviction 
S 645154,4 miss eviction 
L 605644,4 hit 
S 645254,4 miss eviction 
L 605648,4 miss eviction 
S 645354,4 miss eviction 
L 60564c,4 hit 
S 645454,4 miss eviction 
L 605650,4 hit 
S 645554,4 miss eviction 
L 605654,4 hit 
S 645654,4 miss eviction 
L 605658,4 miss eviction 
S 645754,4 miss eviction 
L 60565c,4 hit 
S 645854,4 miss eviction 
L 605660,4 miss eviction 
S 645954,4 miss eviction 
L 605664,4 hit 
S 645a54,4 miss eviction 
L 605668,4 hit 
S 645b54,4 miss eviction 
L 60566c,4 hit 
S 645c54,4 miss eviction 
L 605670,4 hit 
S 645d54,4 miss eviction 
L 605674,4 hit 
S 645e54,4 miss eviction 
L 605678,4 hit 
S 645f54,4 miss eviction 
L 60567c,4 hit 
